Difficulty,Probe,Front Server,Data File,RTT1,RTT2,RTT3,RTT4,RTT5,RTT6,RTT7,RTT8,RTT9,RTT10,RTT11,RTT12,RTT13,RTT14,RTT15,RTT16,RTT17,RTT18,RTT19,RTT20
Challenge-1,cdgeb-probe-04,cdgeb-server-16,cdgeb-file-01,1.200908,0.499598,0.497726,0.492649,0.495775,0.501688,0.500129,0.49227,0.50479,0.497573,0.535471,0.492787,0.49996,0.499427,0.497698,0.496724,0.497805,0.501991,0.49945,0.495966
Challenge-1,cdgeb-probe-10,cdgeb-server-12,cdgeb-file-01,0.773899,0.590637,0.587022,0.600085,0.589096,0.589942,0.61143,0.59555,0.59868,0.617946,0.587362,0.59767,0.614743,0.591745,0.598735,0.588196,0.739122,0.590243,0.609202,0.609737
Challenge-2,cdgeb-probe-06,cdgeb-server-06,cdgeb-file-13,1.11377,0.427939,0.426023,0.429227,0.428808,0.428515,0.427569,0.468409,0.429056,0.42849,0.430748,0.427073,0.431908,0.429966,0.428765,0.427939,0.427286,0.42708,0.426679,0.431052
Challenge-2,cdgeb-probe-04,cdgeb-server-15,cdgeb-file-06,0.848872,0.422004,0.441828,0.413354,0.417639,0.410875,0.418963,0.413704,0.41571,0.41342,0.412071,0.411953,0.411203,0.411939,0.411982,0.414008,0.413066,0.415281,0.412637,0.414137
Challenge-2,cdgeb-probe-12,cdgeb-server-08,cdgeb-file-13,1.065711,0.491447,0.489944,0.490361,0.490113,0.489259,0.490188,0.490086,0.489759,0.487843,0.491254,0.490064,0.488904,0.491229,0.498713,0.491571,0.488965,0.491698,0.487482,0.488131
Challenge-2,cdgeb-probe-06,cdgeb-server-09,cdgeb-file-15,0.997509,0.558296,0.519443,0.517409,0.516662,0.519034,0.514351,0.521721,0.519732,0.520593,0.512976,0.550635,0.542946,0.515741,0.515589,0.512681,0.51596,0.513153,0.515745,0.521123
Challenge-2,cdgeb-probe-12,cdgeb-server-04,cdgeb-file-08,0.793651,0.26643,0.259771,0.263237,0.262423,0.267711,0.264793,0.264018,0.262802,0.280509,0.263161,0.265959,0.260635,0.261075,0.26404,0.26369,0.265001,0.270106,0.263402,0.26183
Challenge-2,cdgeb-probe-10,cdgeb-server-06,cdgeb-file-13,1.197874,0.51828,0.517854,0.518838,0.516584,0.519864,0.518252,0.51724,0.515017,0.521533,0.515269,0.514278,0.516978,0.516012,0.516861,0.514741,0.51691,0.51635,0.515332,0.515754
Challenge-2,cdgeb-probe-11,cdgeb-server-17,cdgeb-file-13,1.260489,0.688533,0.680061,0.694374,0.687495,0.699863,0.699178,0.688617,0.697236,0.688462,0.694547,0.693844,0.693176,0.698349,0.693839,0.692485,0.695071,0.697508,0.699708,0.695129
Challenge-2,cdgeb-probe-09,cdgeb-server-10,cdgeb-file-08,1.027252,0.287091,0.275079,0.277883,0.274884,0.284814,0.285761,0.288691,0.274692,0.286561,0.288316,0.275771,0.273643,0.277993,0.289301,0.284691,0.275296,0.286151,0.273947,0.273454
Challenge-2,cdgeb-probe-10,cdgeb-server-16,cdgeb-file-06,0.88508,0.407708,0.523961,0.408673,0.411679,0.407408,0.411056,0.413993,0.411502,0.413228,0.410064,0.411955,0.412834,0.408545,0.41341,0.413567,0.411346,0.420273,0.404431,0.40729
Challenge-2,cdgeb-probe-05,cdgeb-server-06,cdgeb-file-13,1.061572,0.373865,0.373048,0.380097,0.379356,0.379543,0.375854,0.374985,0.376568,0.374291,0.378053,0.376207,0.374505,0.37351,0.377509,0.373953,0.376735,0.381355,0.375903,0.379282
Challenge-2,cdgeb-probe-11,cdgeb-server-07,cdgeb-file-11,0.746683,0.462019,0.459437,0.462304,0.460785,0.464005,0.462316,0.461251,0.46241,0.460482,0.459147,0.46108,0.463096,0.459815,0.465923,0.467578,0.462321,0.460519,0.459164,0.459152
Challenge-2,cdgeb-probe-04,cdgeb-server-11,cdgeb-file-13,0.582576,0.286623,0.292757,0.287338,0.286736,0.287651,0.285126,0.285757,0.288116,0.285423,0.286703,0.292541,0.286399,0.286344,0.287244,0.295256,0.288253,0.286894,0.287991,0.291722
Challenge-2,cdgeb-probe-09,cdgeb-server-09,cdgeb-file-11,1.082359,0.678553,0.676764,0.687677,0.676013,0.676932,0.676305,0.682357,0.679928,0.671442,0.683964,0.680203,0.681382,0.678409,0.685094,0.681944,0.694656,0.674771,0.679319,0.682806
Challenge-2,cdgeb-probe-09,cdgeb-server-02,cdgeb-file-17,1.197745,0.495352,0.50733,0.503704,0.492846,0.500827,0.512927,0.493002,0.499201,0.530285,0.495267,0.488011,0.495973,0.494214,0.495909,0.487813,0.492592,0.495787,0.492558,0.492139
Challenge-2,cdgeb-probe-09,cdgeb-server-10,cdgeb-file-06,1.040251,0.320102,0.335326,0.318357,0.310335,0.309525,0.318116,0.31032,0.308537,0.306999,0.318368,0.309641,0.349588,2.592615,1.326951,0.308682,0.312244,0.308535,0.317044,0.308288
Challenge-2,cdgeb-probe-08,cdgeb-server-06,cdgeb-file-13,1.066167,0.385897,0.385965,0.385029,0.386643,0.391435,0.385073,0.384576,0.387644,0.386336,0.387502,0.386041,0.385658,0.38751,0.384814,0.384461,0.408524,0.405622,0.3855,0.387408
Challenge-1,cdgeb-probe-09,cdgeb-server-15,cdgeb-file-02,0.447953,0.309571,0.311475,0.316688,0.319305,0.318587,0.357266,0.308219,0.321672,0.32219,0.324894,0.313174,0.312293,0.312088,0.314032,0.31651,0.322974,0.327262,0.315044,0.3188
Challenge-2,cdgeb-probe-01,cdgeb-server-07,cdgeb-file-08,0.179275,0.091682,0.101131,0.074217,0.072608,0.072136,0.07494,0.075046,0.071631,0.076419,0.073153,0.072896,0.074872,0.070958,0.073764,0.079609,0.077535,0.073868,0.09094,0.076921
Challenge-2,cdgeb-probe-01,cdgeb-server-10,cdgeb-file-08,1.264806,0.675863,0.624373,0.635919,0.619376,0.62109,0.635938,0.635617,0.632765,0.634551,0.629701,0.63239,0.636994,0.63382,0.625452,0.632308,0.627876,0.630922,0.630541,0.629158
Challenge-2,cdgeb-probe-07,cdgeb-server-07,cdgeb-file-12,0.500471,0.290386,0.291431,0.290742,0.292864,0.28835,0.293495,0.291892,0.29232,0.291586,0.29306,0.294638,0.291379,0.290919,0.295222,0.291779,0.306971,0.291573,0.293134,0.302497
Challenge-2,cdgeb-probe-04,cdgeb-server-16,cdgeb-file-10,0.368174,0.285713,0.287111,0.289787,0.286984,0.286822,0.286803,0.29024,0.28864,0.287796,0.287553,0.288069,0.291203,0.288803,0.2877,0.292158,0.288278,0.287559,0.289673,0.287134
Challenge-1,cdgeb-probe-02,cdgeb-server-10,cdgeb-file-03,1.1758,0.624063,0.622476,0.629276,0.622926,0.6157,0.623791,0.620456,0.623185,0.621017,0.625755,0.611552,0.641445,0.625283,0.623823,0.628895,0.618309,0.644803,0.630715,0.628315
Challenge-2,cdgeb-probe-11,cdgeb-server-03,cdgeb-file-08,1.170581,0.719502,0.720171,0.718257,0.72305,0.720587,0.716793,0.718446,0.725568,0.72268,0.721757,0.718092,0.723092,0.720914,0.715139,0.712464,0.72249,0.719517,0.726127,0.724188
Challenge-2,cdgeb-probe-01,cdgeb-server-09,cdgeb-file-15,1.418386,0.326504,0.330487,0.33037,0.331924,0.334535,0.33423,0.33014,0.330162,0.330095,0.328511,0.327728,0.332776,0.327245,0.328299,0.328795,0.327396,0.329141,0.331193,0.335106
Challenge-2,cdgeb-probe-12,cdgeb-server-01,cdgeb-file-17,1.063267,0.554343,0.550984,0.554302,0.553895,0.553979,0.554714,0.555962,0.556477,0.554903,0.554432,0.555522,0.55607,0.553457,0.55318,0.55683,0.555724,0.587133,0.558826,0.554754
Challenge-1,cdgeb-probe-05,cdgeb-server-13,cdgeb-file-02,1.342855,0.54863,0.547394,0.548107,0.547376,0.548726,0.547211,0.548919,0.548386,0.542993,0.546151,0.547732,0.542635,0.548362,0.544024,0.572042,0.548068,0.548518,0.548527,0.547514
Challenge-2,cdgeb-probe-14,cdgeb-server-02,cdgeb-file-12,1.037352,0.59503,0.600584,0.599093,0.594378,0.603523,0.598999,0.603833,0.599156,0.597672,0.600773,0.596615,0.598557,0.60908,0.59536,0.599861,0.593583,0.596188,0.600078,0.599834
Challenge-2,cdgeb-probe-02,cdgeb-server-02,cdgeb-file-11,0.29803,0.195351,0.196557,0.194408,0.192848,0.194351,0.193319,0.19736,0.195083,0.194733,0.194034,0.200215,0.195798,0.192943,0.194922,0.197903,0.194598,0.193182,0.193797,0.197163
Challenge-1,cdgeb-probe-04,cdgeb-server-11,cdgeb-file-03,0.349128,0.230444,0.232044,0.233532,0.230253,0.231328,0.230442,0.233528,0.232279,0.229641,0.236389,0.234595,0.23113,0.228888,0.236877,0.229841,0.230098,0.239356,0.230742,0.232125
Challenge-2,cdgeb-probe-01,cdgeb-server-09,cdgeb-file-16,1.695963,0.359538,0.37359,0.370107,0.370221,0.37108,0.369615,0.374665,0.373558,0.367357,0.372185,0.369064,0.374495,0.366747,0.367553,0.373751,0.367812,0.364304,0.365604,0.372698
Challenge-2,cdgeb-probe-01,cdgeb-server-09,cdgeb-file-11,1.248691,0.307931,0.314626,0.31296,0.303101,0.30884,0.313324,0.311529,0.309709,0.309717,0.309384,0.305129,0.3132,0.311691,0.307798,0.311168,0.311646,0.307894,0.31347,0.312261
Challenge-2,cdgeb-probe-08,cdgeb-server-01,cdgeb-file-06,0.472657,0.231422,0.233007,0.233288,0.232685,0.232824,0.232112,0.230745,0.230447,0.23269,0.234735,0.230697,0.232068,0.232747,0.234717,0.232881,0.233494,0.234259,0.233898,0.232947
Challenge-1,cdgeb-probe-06,cdgeb-server-10,cdgeb-file-03,0.970742,0.444044,0.448616,0.439725,0.435879,0.447381,0.442233,0.439311,0.450912,0.441153,0.450451,0.450637,0.45863,0.457503,0.455999,0.441349,0.452561,0.446014,0.435786,0.453637
Challenge-2,cdgeb-probe-09,cdgeb-server-07,cdgeb-file-17,1.025782,0.561396,0.555872,0.555393,0.559905,0.563464,0.560194,0.555999,0.555192,0.563014,0.55531,0.555499,0.554591,0.558313,0.560742,0.553886,0.556939,0.563488,0.574259,0.687064
Challenge-2,cdgeb-probe-06,cdgeb-server-07,cdgeb-file-08,0.378292,0.24949,0.250913,0.248329,0.249033,0.249638,0.250045,0.248045,0.248203,0.248776,0.249522,0.250732,0.247023,0.250001,0.249909,0.247995,0.251743,0.247786,0.248675,0.250308
Challenge-2,cdgeb-probe-07,cdgeb-server-02,cdgeb-file-11,0.201571,0.106772,0.106179,0.10606,0.105147,0.103822,0.104007,0.102738,0.105746,0.104273,0.10493,0.102977,0.103691,0.10351,0.104575,0.102402,0.103598,0.104666,0.104379,0.106608
Challenge-2,cdgeb-probe-10,cdgeb-server-11,cdgeb-file-14,1.480537,0.75375,0.753899,0.745525,0.744986,0.743085,0.754417,0.852803,0.75261,0.755677,0.747919,0.754768,0.762504,0.754755,0.759057,0.848777,0.755367,0.745044,0.755636,0.771406
Challenge-2,cdgeb-probe-05,cdgeb-server-08,cdgeb-file-11,0.598424,0.161365,0.158128,0.159662,0.158591,0.160932,0.15958,0.159281,0.160659,0.1612,0.161284,0.159677,0.162157,0.158794,0.160452,0.161588,0.16216,0.173588,0.161187,0.161675
Challenge-2,cdgeb-probe-04,cdgeb-server-13,cdgeb-file-06,0.909192,0.436115,0.435678,0.435063,0.433608,0.433529,0.436031,0.433394,0.435631,0.434407,0.434494,0.437147,0.462265,0.435805,0.435632,0.437201,0.433498,0.436392,0.434518,0.435749
Challenge-2,cdgeb-probe-10,cdgeb-server-15,cdgeb-file-07,0.63021,0.368621,0.370433,0.368743,0.360535,0.371938,0.367076,0.372133,0.368184,0.365997,0.362008,0.364483,0.363907,0.366591,0.365321,0.365795,0.371176,0.363386,0.363137,0.369678
Challenge-1,cdgeb-probe-02,cdgeb-server-14,cdgeb-file-04,0.363923,0.23625,0.2302,0.229584,0.229323,0.231535,0.226972,0.232801,0.22583,0.224041,0.233176,0.225854,0.231378,0.233406,0.231338,0.225929,0.229417,0.235527,0.247889,0.229753
Challenge-2,cdgeb-probe-02,cdgeb-server-08,cdgeb-file-07,0.526214,0.229189,0.230797,0.229692,0.22946,0.231111,0.236272,0.234617,0.231536,0.227022,0.23265,0.229933,0.230397,0.23544,0.231343,0.228015,0.227773,0.230278,0.229784,0.22967
Challenge-1,cdgeb-probe-01,cdgeb-server-03,cdgeb-file-05,1.374076,0.392289,0.387955,0.389965,0.403037,0.390215,0.39232,0.393493,0.390891,0.386901,0.389172,0.389183,0.38991,0.391313,0.389466,0.389923,0.391184,0.389709,0.388889,0.388916
Challenge-2,cdgeb-probe-14,cdgeb-server-11,cdgeb-file-07,0.671432,0.166336,0.169471,0.170402,0.166585,0.173257,0.166327,0.165689,0.16787,0.169333,0.168884,0.167121,0.167165,0.16675,0.166007,0.168589,0.167889,0.165962,0.165623,0.168839
Challenge-2,cdgeb-probe-12,cdgeb-server-02,cdgeb-file-17,1.386579,0.691175,0.693902,0.688572,0.692717,0.692863,0.69272,0.693388,0.692441,0.690833,0.690248,0.688495,0.689971,0.689474,0.689733,0.692552,0.692554,0.688154,0.692183,0.691933
Challenge-2,cdgeb-probe-05,cdgeb-server-07,cdgeb-file-15,0.955214,0.336055,0.338419,0.335405,0.334033,0.336663,0.337297,0.33778,0.3349,0.335886,0.335365,0.338456,0.333346,0.334505,0.336607,0.336818,0.335981,0.333934,0.336985,0.338996
Challenge-2,cdgeb-probe-05,cdgeb-server-01,cdgeb-file-07,0.259466,0.161596,0.159062,0.160238,0.159473,0.157623,0.158801,0.160489,0.162308,0.162564,0.161942,0.164133,0.159677,0.159468,0.160194,0.15971,0.159947,0.161988,0.162028,0.158883
Challenge-2,cdgeb-probe-11,cdgeb-server-13,cdgeb-file-09,0.974462,0.45242,0.45242,0.451745,0.4481,0.456949,0.448652,0.459465,0.454198,0.456331,0.456198,0.453527,0.502419,0.451485,0.453712,0.4593,0.456581,0.448164,0.450969,0.456996
Challenge-1,cdgeb-probe-01,cdgeb-server-03,cdgeb-file-03,2.642095,0.550785,0.550318,0.55268,0.550165,0.55151,0.55138,0.563017,0.552158,0.575679,0.548061,0.548738,0.549123,0.548958,0.549437,0.547953,0.547746,0.552477,0.549279,0.547968
Challenge-2,cdgeb-probe-10,cdgeb-server-03,cdgeb-file-07,1.07091,0.642209,0.643033,0.640518,0.641872,0.645427,0.640416,0.643657,0.645454,0.641291,0.642471,0.64256,0.642189,0.642254,0.643294,0.643308,0.642851,0.640925,0.643269,0.642678
Challenge-1,cdgeb-probe-10,cdgeb-server-04,cdgeb-file-01,0.604953,0.522597,0.521176,0.528527,0.552798,0.523252,0.520253,0.520649,0.525122,0.521463,0.521633,0.527161,0.523525,0.525781,0.55168,0.522463,0.542601,0.523163,0.532897,0.521152
Challenge-2,cdgeb-probe-06,cdgeb-server-06,cdgeb-file-16,0.77692,0.394137,0.352609,0.354092,0.345066,0.343013,0.344319,0.345707,0.35375,0.34325,0.352031,0.350219,0.353026,0.352028,0.357255,0.352514,0.345728,0.342794,0.352258,0.351689
Challenge-2,cdgeb-probe-12,cdgeb-server-02,cdgeb-file-11,0.574314,0.489051,0.492491,0.489451,0.487568,0.490936,0.485438,0.488134,0.48852,0.485869,0.486085,0.486149,0.486296,0.491038,0.487963,0.490222,0.485324,0.484111,0.486499,0.483248
Challenge-1,cdgeb-probe-06,cdgeb-server-13,cdgeb-file-03,1.211752,0.730254,0.726956,0.729451,0.72768,0.728828,0.748404,0.727221,0.722958,0.750431,0.731099,0.722105,0.731898,0.724506,0.72911,0.730606,0.732015,0.731461,0.729913,0.727538
Challenge-2,cdgeb-probe-10,cdgeb-server-10,cdgeb-file-06,1.243794,0.470805,0.581892,0.621749,0.469594,0.451001,0.471509,0.470902,0.451705,0.468841,0.469775,0.471261,0.465057,0.451945,0.449847,0.451262,0.46689,0.452373,0.446516,0.44882
Challenge-1,cdgeb-probe-10,cdgeb-server-09,cdgeb-file-03,0.994083,0.573192,0.575763,0.574782,0.57664,0.57336,0.574491,0.574813,0.567441,0.572697,0.5729,0.573208,0.572666,0.575855,0.57373,0.578387,0.58306,0.572917,0.569027,0.575269
Challenge-2,cdgeb-probe-10,cdgeb-server-14,cdgeb-file-08,0.749425,0.343174,0.345101,0.339752,0.342353,0.347652,0.346663,0.340919,0.344747,0.34264,0.346555,0.346243,0.343458,0.34467,0.347003,0.346336,0.480423,0.345289,0.343799,0.341021
Challenge-2,cdgeb-probe-08,cdgeb-server-01,cdgeb-file-07,0.284106,0.18425,0.185198,0.18321,0.185733,0.187687,0.186215,0.184211,0.183918,0.189607,0.184314,0.183429,0.18455,0.183061,0.185412,0.186366,0.184865,0.183163,0.183505,0.184538
Challenge-2,cdgeb-probe-08,cdgeb-server-12,cdgeb-file-11,1.483355,0.736975,0.740048,0.759346,0.738762,0.738306,0.739527,0.739562,0.735558,0.735967,0.736362,0.74166,0.737166,0.735953,0.736959,0.737016,0.73571,0.739666,0.736414,0.73811
Challenge-2,cdgeb-probe-09,cdgeb-server-13,cdgeb-file-09,1.292091,0.760298,0.772109,0.770165,0.771494,0.762749,0.763109,0.759988,0.761109,0.769387,0.761516,0.769643,0.773585,0.77206,0.773927,0.773378,0.762815,0.772199,0.762857,0.76089
Challenge-1,cdgeb-probe-05,cdgeb-server-16,cdgeb-file-01,1.235446,0.517051,0.518771,0.53881,0.528141,0.528807,0.524316,0.522422,0.529477,0.519172,0.524749,0.517965,0.525252,0.518994,0.528723,0.524782,0.528239,0.524081,0.517584,0.518971
Challenge-2,cdgeb-probe-09,cdgeb-server-05,cdgeb-file-07,1.428142,0.71936,0.73179,0.732248,0.72409,0.733045,0.726023,0.730096,0.728543,0.72165,0.732685,0.730352,0.724645,0.724739,0.723983,0.718648,0.726523,0.719483,0.733293,0.721197
